obsHistID,expMJD,filter,bandmag
194870,49597.101199,z,24.11671760867817
194871,49597.101627,z,24.116707854446236
194872,49597.102055,z,24.116698101087557
194873,49597.102484,z,24.116688325817282
194874,49597.102912,z,24.116678574207583
194875,49597.10334,z,24.116668823471237
194876,49597.103768,z,24.11665907360822
194877,49597.104197,z,24.116649301841505
194878,49597.105979,y,24.279203462195746
194879,49597.106407,y,24.279194381918554
194880,49597.106824,y,24.279185535601783
194881,49597.107252,y,24.27917645653341
194882,49597.107669,y,24.279167611394517
194883,49597.108097,y,24.279158533534915
194884,49597.108525,y,24.279149456287385
194885,49597.108942,y,24.279140612922646
194886,49597.10937,y,24.279131536883945
194887,49597.109787,y,24.27912269469664
194888,49597.110204,y,24.279113853090593
194889,49597.110632,y,24.279104778856787
194890,49597.11106,y,24.279095705235278
194891,49597.111477,y,24.27908686540313
194892,49597.111905,y,24.279077792990126
194893,49597.112322,y,24.279068954335244
194894,49597.11275,y,24.279059883130692
194895,49597.113166,y,24.279051066845476
194896,49597.113595,y,24.27904197565701
194897,49597.114023,y,24.27903290627289
196741,49599.126126,u,29.713322976400946
196742,49599.126543,u,29.71332027057678
196743,49599.126971,u,29.713317487761405
196744,49599.127399,u,29.71331469925845
196745,49599.127828,u,29.713311898532822
196746,49599.128244,u,29.713309177220655
196747,49599.128661,u,29.713306443974492
196748,49599.129089,u,29.713303633014018
196749,49599.129518,u,29.71330080977857
196750,49599.129946,u,29.71329798743014
196751,49599.130374,u,29.713295159394434
196752,49599.130791,u,29.713292398572015
196753,49599.131207,u,29.71328963899112
196754,49599.131624,u,29.713286867384483
196755,49599.132052,u,29.713284017051926
196756,49599.13248,u,29.713281161032317
196757,49599.132909,u,29.713278292632815
196758,49599.133337,u,29.71327542522596
196759,49599.133765,u,29.713272552132185
196760,49599.134193,u,29.713269673351547
199611,49608.230246,r,25.934795017705223
199612,49608.230663,r,25.93482311959143
199613,49608.23108,r,25.934851221749213
199614,49608.231496,r,25.934879256787283
199615,49608.231913,r,25.934907359489042
199616,49608.23233,r,25.93493546246238
199617,49608.232746,r,25.934963498314062
199618,49608.233163,r,25.934991601830898
199619,49608.23358,r,25.935019705620302
199620,49608.233996,r,25.93504774228561
199621,49608.234413,r,25.93507584661804
199622,49608.23483,r,25.935103951223045
199623,49608.235246,r,25.935131988701514
199624,49608.235663,r,25.935160093850044
199625,49608.23608,r,25.935188199270666
199626,49608.236496,r,25.935216237562805
199627,49608.236913,r,25.935244343526968
199628,49608.23733,r,25.935272449763232
199629,49608.237746,r,25.93530048886906
199630,49608.238163,r,25.935328595648876
199631,49608.239945,g,28.73302974354559
199632,49608.240362,g,28.733077712646725
199633,49608.240779,g,28.73312568268489
199634,49608.241195,g,28.733173538619802
199635,49608.241612,g,28.73322151052735
199636,49608.242029,g,28.733269483372016
199637,49608.242445,g,28.733317342106798
199638,49608.242862,g,28.73336531682103
199639,49608.243279,g,28.73341329247247
199640,49608.243695,g,28.733461154006555
199641,49608.245478,i,24.478534886258853
199642,49608.245895,i,24.478547704892225
199643,49608.246311,i,24.478560493166857
199644,49608.246728,i,24.47857331256464
199645,49608.247145,i,24.478586132345445
199646,49608.247561,i,24.478598921764572
199647,49608.247978,i,24.478611742310086
199648,49608.248395,i,24.478624563238434
199649,49608.248811,i,24.478637353802384
